organism	temperature
Magnusiomyces ovetensis	24
Magnusiomyces starmeri	30
Magnusiomyces tetrasperma	24
Mahella australiensis	50
Malassezia dermatis	30
Malassezia furfur	31
Malassezia globosa	30
Malassezia japonica	30
Malassezia obtusa	30
Malassezia pachydermatis	32
Malassezia restricta	30
Malassezia slooffiae	30
Malassezia sp.	30
Malassezia sympodialis	31
Malassezia yamatoensis	30
Malawimonas jakobiformis	25
Malbranchea aurantiaca	24
Malbranchea chrysosporioidea	24
Malbranchea cinnamomea	45
Malbranchea circinata	24
Malbranchea dendritica	24
Malbranchea flava	24
Malbranchea flavorosea	24
Malbranchea flocciformis	24
Malbranchea fulva	24
Malbranchea graminicola	24
Malbranchea gypsea	24
Malbranchea pulchella	45
Malbranchea sp.	45
Malbranchea sulfurea	38
Malikia granosa	29
Malikia spinosa	27
Mallomonas sp.	18
Malonomonas rubra	30
Mameliella alba	30
Mamiella sp.	18
Mangrovibacter plantisponsor	28
Mangrovibacter yixingensis	28
Mangrovibacterium diazotrophicum	28
Mangroviflexus xiamenensis	37
Mannheimia caviae	37
Mannheimia glucosida	37
Mannheimia granulomatis	37
Mannheimia haemolytica	37
Mannheimia ruminalis	37
Mannheimia varigena	37
Mantoniella squamata	20
Marasmiellus juniperinus	23
Marasmiellus mesosporus	24
Marasmiellus opacus	24
Marasmiellus ramealis	24
Marasmiellus sp.	28
Marasmiellus tenerrimus	24
Marasmius alliaceus	24
Marasmius androsaceus	24
Marasmius brevipes	24
Marasmius capillaris	24
Marasmius cohaerens	24
Marasmius delectans	24
Marasmius fulvoferrugineus	24
Marasmius graminum	24
Marasmius haematocephalus	24
Marasmius nigrodiscus	24
Marasmius oreades	24
Marasmius pallidocephalus	24
Marasmius pulcherripes	24
Marasmius pyrrhocephalus	24
Marasmius ramealis	24
Marasmius rotula	24
Marasmius scorodonius	24
Marasmius siccus	24
Marasmius sullivantii	24
Marchandiomyces aurantiacus	18
Marchandiomyces buckii	18
Marchandiomyces corallinus	18
Marchandiomyces lignicola	18
Marchandiomyces marsonii	23
Margaritispora aquatica	25
Margaritispora monticola	26
Mariannaea elegans	25
Maribacter antarcticus	10
Maribacter aquivivus	29
Maribacter arcticus	20
Maribacter dokdonensis	28
Maribacter forsetii	24
Maribacter orientalis	29
Maribacter polysiphoniae	28
Maribacter sedimenticola	27
Maribacter stanieri	28
Maribacter ulvicola	25
Maribius pelagius	30
Maribius salinus	30
Maricaulis maris	26
Maricaulis parjimensis	28
Maricaulis salignorans	28
Maricaulis virginensis	28
Maricaulis washingtonensis	28
Marichromatium bheemlicum	28
Marichromatium gracile	25
Marichromatium indicum	28
Marichromatium purpuratum	26
Marihabitans asiaticum	28
Marinactinospora endophytica	28
Marinactinospora thermotolerans	28
Marinibacillus campisalis	30
Marinibacillus marinus	10
Marinibactrum halimedae	25
Marinicella litoralis	28
Marinifilum flexuosum	25
Mariniflexile fucanivorans	25
Marinilabilia agarovorans	30
Marinilabilia salmonicolor	28
Marinilactibacillus piezotolerans	34
Marinilactibacillus psychrotolerans	35
Mariniluteicoccus endophyticus	28
Mariniluteicoccus flavus	28
Marinimicrobium agarilyticum	28
Marinimicrobium koreense	28
Marininema halotolerans	28
Marininema mesophilum	28
Mariniphaga anaerophila	28
Mariniradius saccharolyticus	28
Marinithermus hydrothermalis	70
Marinitoga camini	55
Marinitoga hydrogenitolerans	60
Marinitoga litoralis	60
Marinitoga okinawensis	55
Marinitoga piezophila	65
Marinobacter adhaerens	35
Marinobacter algicola	29
Marinobacter alkaliphilus	30
Marinobacter aquaeolei	29
Marinobacter bryozoorum	28
Marinobacter daepoensis	30
Marinobacter excellens	25
Marinobacter flavimaris	30
Marinobacter goseongensis	28
Marinobacter gudaonensis	30
Marinobacter hydrocarbonoclasticus	28
Marinobacter koreensis	28
Marinobacter lipolyticus	37
Marinobacter litoralis	30
Marinobacter lutaoensis	42
Marinobacter maritimus	24
Marinobacter oulmenensis	45
Marinobacter persicus	28
Marinobacter salarius	25
Marinobacter salicampi	30
Marinobacter salsuginis	29
Marinobacter santoriniensis	37
Marinobacter sediminum	28
Marinobacter similis	25
Marinobacter sp.	30
Marinobacter squalenivorans	30
Marinobacter vinifirmus	28
Marinobacter zhanjiangensis	28
Marinobacterium georgiense	28
Marinobacterium halophilum	28
Marinobacterium jannaschii	27
Marinobacterium litorale	20
Marinobacterium lutimaris	28
Marinobacterium mangrovicola	28
Marinobacterium rhizophilum	28
Marinobacterium stanieri	27
Marinococcus albus	37
Marinococcus halophilus	32
Marinococcus halotolerans	28
Marinococcus hispanicus	36
Marinococcus luteus	28
Marinococcus tarijensis	28
Marinomonas aquimarina	25
Marinomonas basaltis	25
Marinomonas communis	28
Marinomonas dokdonensis	30
Marinomonas mediterranea	25
Marinomonas ostreistagni	28
Marinomonas polaris	22
Marinomonas pontica	28
Marinomonas primoryensis	20
Marinomonas protea	10
Marinomonas sp.	17
Marinomonas ushuaiensis	26
Marinomonas vaga	27
Marinoscillum furvescens	27
Marinospirillum alkaliphilum	37
Marinospirillum celere	35
Marinospirillum insulare	27
Marinospirillum megaterium	15
Marinospirillum minutulum	27
Marinovum algicola	28
Mariprofundus ferrooxydans	25
Marisediminicola antarctica	20
Maritalea myrionectae	28
Maritimibacter alkaliphilus	30
Marivirga sericea	27
Marivirga tractuosa	25
Marivita byunsanensis	25
Marivita cryptomonadis	28
Marivita geojedonensis	30
Marivita hallyeonensis	30
Marivita litorea	28
Marivita roseacus	27
Marixanthomonas ophiurae	30
Marmoricola aequoreus	29
Marmoricola aurantiacus	27
Marmoricola bigeumensis	28
Marmoricola ginsengisoli	28
Marmoricola korecus	28
Marmoricola scoriae	28
Marmoricola solisilvae	28
Marmoricola sp.	28
Marmoricola terrae	28
Marssonina brunnea	22
Martelella mangrovi	25
Martelella mediterranea	29
Martelella radicis	25
Marvinbryantia formatexigens	37
Massaria indica	24
Massarina ingoldiana	24
Massarina sp.	24
Massilia aerilata	30
Massilia albidiflava	30
Massilia alkalitolerans	29
Massilia aurea	27
Massilia brevitalea	15
Massilia consociata	30
Massilia dura	30
Massilia flava	28
Massilia haematophila	28
Massilia jejuensis	30
Massilia lutea	30
Massilia namucuonensis	30
Massilia niabensis	30
Massilia niastensis	30
Massilia oculi	30
Massilia plicata	30
Massilia sp.	29
Massilia suwonensis	30
Massilia tieshanensis	30
Massilia timonae	34
Massilia umbonata	30
Massilia varians	28
Massilibacterium senegalense	37
Massisteria marina	25
Massisteria sp.	25
Mastigamoeba balamuthi	35
Mastigobasidium intermedium	20
Mastigocladus laminosus	37
Mastigocladus sp.	37
Mataza hastifera	20
Matsuenia chitosanotabidus	30
Mayamaea atomus	15
Mechercharimyces asporophorigenens	28
Mechercharimyces mesophilus	37
Megacollybia platyphylla	20
Megamonas funiformis	37
Megamonas hypermegale	37
Megamonas rupellensis	37
Meganema perideroedes	23
Megasphaera cerevisiae	28
Megasphaera elsdenii	37
Megasphaera indica	37
Megasphaera micronuciformis	37
Megasphaera paucivorans	30
Megasphaera sueciensis	30
Megasporoporia hexagonoides	24
Meiothermus cerbereus	50
Meiothermus chliarophilus	50
Meiothermus granaticius	45
Meiothermus hypogaeus	50
Meiothermus roseus	50
Meiothermus ruber	56
Meiothermus rufus	55
Meiothermus silvanus	50
Meiothermus taiwanensis	55
Meiothermus terrae	50
Meiothermus timidus	50
Meira miltonrushii	20
Melaminivora alkalimesophila	28
Melanconis marginalis	24
Melanocarpus albomyces	43
Melanodothis caricis	20
Melanogaster broomeianus	23
Melanomma pulvis-pyrius	22
Melanomma radicans	24
Melanoporia nigra	25
Melanopsamma pomiformis	24
Melanosiphon intestinalis	10
Melanospora brevirostris	24
Melanospora ornata	24
Melanospora singaporensis	26
Melanospora tiffanii	26
Melanospora zamiae	25
Melanotus hartii	25
Melghiribacillus thermohalophilus	55
Melghirimyces algeriensis	55
Melghirimyces profundicolus	50
Melghirimyces thermohalophilus	55
Melioribacter roseus	47
Melissococcus plutonius	30
Melitea salexigens	28
Melittangium alboraceum	28
Melittangium boletus	28
Melittangium lichenicola	28
Memnoniella echinata	25
Memnoniella subsimplex	24
Menispora ciliata	24
Meredithblackwellia eburnea	20
Meria coniospora	25
Meria laricis	24
Meripilus giganteus	25
Merismopedia tenuissima	20
Merotricha bacillata	20
Meruliopsis corium	24
Meruliporia incrassata	24
Merulius tremellosus	24
Mesanophrys chesapeakensis	25
Mesoaciditoga lauensis	60
Mesocricetibacter intestinalis	37
Mesoflavibacter zeaxanthinifaciens	37
Mesonia algae	25
Mesonia mobilis	28
Mesonia phycicola	28
Mesopedinella arctica	20
Mesoplasma chauliocola	37
Mesoplasma coleopterae	30
Mesoplasma corruscae	30
Mesoplasma entomophilum	30
Mesoplasma florum	30
Mesoplasma grammopterae	30
Mesoplasma lactucae	30
Mesoplasma photuris	30
Mesoplasma seiffertii	30
Mesoplasma syrphidae	30
Mesoplasma tabanidae	30
Mesorhizobium abyssinicae	30
Mesorhizobium albiziae	17
Mesorhizobium amorphae	29
Mesorhizobium camelthorni	30
Mesorhizobium chacoense	29
Mesorhizobium ciceri	27
Mesorhizobium hawassense	30
Mesorhizobium huakuii	29
Mesorhizobium loti	26
Mesorhizobium mediterraneum	29
Mesorhizobium muleiense	30
Mesorhizobium plurifarium	30
Mesorhizobium qingshengii	30
Mesorhizobium robiniae	30
Mesorhizobium sangaii	30
Mesorhizobium shangrilense	28
Mesorhizobium shonense	30
Mesorhizobium silamurunense	30
Mesorhizobium sp.	30
Mesorhizobium tamadayense	30
Mesorhizobium thiogangeticum	29
Mesorhizobium tianshanense	30
Mesostigma viride	20
Mesotaenium caldariorum	23
Mesotaenium kramstae	20
Mesotoga infera	45
Mesotoga prima	37
Metallibacterium scheffleri	25
Metallosphaera hakonensis	67
Metallosphaera prunae	75
Metallosphaera sedula	67
Metarhizium album	24
Metarhizium anisopliae	24
Metarhizium flavoviride	26
Metarhizium robertsii	24
Methanimicrococcus blatticola	36
Methanobacterium aarhusense	40
Methanobacterium aggregans	40
Methanobacterium alcaliphilum	37
Methanobacterium arcticum	37
Methanobacterium beijingense	37
Methanobacterium bryantii	37
Methanobacterium congolense	37
Methanobacterium defluvii	60
Methanobacterium espanolae	35
Methanobacterium ferruginis	37
Methanobacterium flexile	37
Methanobacterium formicicum	37
Methanobacterium ivanovii	37
Methanobacterium kanagiense	40
Methanobacterium lacus	30
Methanobacterium movens	37
Methanobacterium movilense	30
Methanobacterium oryzae	37
Methanobacterium paludis	28
Methanobacterium palustre	37
Methanobacterium petrolearium	35
Methanobacterium sp.	41
Methanobacterium subterraneum	37
Methanobacterium thermaggregans	63
Methanobacterium thermalcaliphilum	60
Methanobacterium thermoaggregans	60
Methanobacterium thermoalcaliphilum	60
Methanobacterium thermoautotrophicum	62
Methanobacterium thermoflexum	60
Methanobacterium thermoformicicum	55
Methanobacterium uliginosum	37
Methanobacterium veterum	28
Methanobacterium wolfei	60
Methanobrevibacter arboriphilicus	37
Methanobrevibacter arboriphilus	37
Methanobrevibacter boviskoreani	37
Methanobrevibacter curvatus	30
Methanobrevibacter cuticularis	37
Methanobrevibacter filiformis	30
Methanobrevibacter gottschalkii	37
Methanobrevibacter millerae	37
Methanobrevibacter olleyae	37
Methanobrevibacter oralis	35
Methanobrevibacter ruminantium	37
Methanobrevibacter smithii	37
Methanobrevibacter sp.	37
Methanobrevibacter thaueri	37
Methanobrevibacter woesei	37
Methanobrevibacter wolinii	37
Methanocalculus chunghsingensis	37
Methanocalculus halotolerans	37
Methanocalculus natronophilus	35
Methanocalculus pumilus	37
Methanocalculus taiwanensis	37
Methanocaldococcus bathoardescens	80
Methanocaldococcus fervens	85
Methanocaldococcus indicus	85
Methanocaldococcus infernus	85
Methanocaldococcus jannaschii	80
Methanocaldococcus villosus	80
Methanocaldococcus vulcanius	80
Methanocella arvoryzae	45
Methanocella conradii	50
Methanocella paludicola	37
Methanococcoides alaskense	20
Methanococcoides burtonii	21
Methanococcoides methylutens	28
Methanococcoides vulcani	25
Methanococcus aeolicus	38
Methanococcus deltae	37
Methanococcus frisius	37
Methanococcus maripaludis	37
Methanococcus thermolithotrophicus	60
Methanococcus vannielii	36
Methanococcus voltae	33
Methanococcus vulcanius	80
Methanocorpusculum bavaricum	37
Methanocorpusculum labreanum	37
Methanocorpusculum parvum	36
Methanocorpusculum sinense	30
Methanoculleus bourgensis	37
Methanoculleus chikugoensis	28
Methanoculleus horonobensis	37
Methanoculleus marisnigri	34
Methanoculleus oldenburgensis	37
Methanoculleus palmolei	37
Methanoculleus receptaculi	50
Methanoculleus sp.	37
Methanoculleus submarinus	37
Methanoculleus thermophilus	55
Methanofollis aquaemaris	37
Methanofollis formosanus	37
Methanofollis liminatans	37
Methanofollis tationis	37
Methanogenium boonei	15
Methanogenium bourgense	37
Methanogenium cariaci	26
Methanogenium frigidum	15
Methanogenium frittonii	55
Methanogenium marinum	22
Methanogenium marisnigri	37
Methanogenium olentangyi	37
Methanogenium organophilum	30
Methanogenium thermophilicum	55
Methanohalobium evestigatum	50
Methanohalophilus euhalobius	37
Methanohalophilus halophilus	30
Methanohalophilus levihalophilus	35
Methanohalophilus mahii	37
Methanohalophilus portucalensis	37
Methanolacinia paynteri	37
Methanolacinia petrolearia	37
Methanolinea mesophila	37
Methanolinea tarda	50
Methanolobus bombayensis	35
Methanolobus chelungpuianus	37
Methanolobus oregonensis	37
Methanolobus profundi	30
Methanolobus taylorii	37
Methanolobus tindarius	25
Methanolobus vulcani	37
Methanolobus zinderi	37
Methanomassiliicoccus luminyensis	37
Methanomethylovorans hollandica	37
Methanomethylovorans thermophila	50
Methanomethylovorans uponensis	35
Methanomicrobium antiquum	35
Methanomicrobium mobile	37
Methanomicrococcus blatticola	37
Methanoplanus endosymbiosus	30
Methanoplanus limicola	34
Methanopyrus kandleri	98
Methanoregula boonei	28
Methanoregula formicica	30
Methanosaeta harundinacea	37
Methanosaeta pelagica	30
Methanosalsum zhilinae	41
Methanosarcina acetivorans	37
Methanosarcina baltica	20
Methanosarcina barkeri	35
Methanosarcina flavescens	45
Methanosarcina horonobensis	37
Methanosarcina lacustris	23
Methanosarcina mazei	36
Methanosarcina siciliae	37
Methanosarcina soligelidi	28
Methanosarcina sp.	41
Methanosarcina spelaei	30
Methanosarcina subterranea	30
Methanosarcina thermophila	51
Methanosarcina vacuolata	37
Methanosphaera cuniculi	37
Methanosphaera stadtmanae	37
Methanosphaerula palustris	28
Methanospirillum hungatei	37
Methanospirillum hungatii	37
Methanospirillum lacunae	30
Methanospirillum stamsii	30
Methanothermobacter crinale	65
Methanothermobacter defluvii	60
Methanothermobacter marburgensis	60
Methanothermobacter sp.	55
Methanothermobacter tenebrarum	70
Methanothermobacter thermautotrophicus	62
Methanothermobacter thermoflexus	58
Methanothermobacter thermophilus	58
Methanothermobacter wolfeii	60
Methanothermococcus okinawensis	65
Methanothermococcus thermolithotrophicus	63
Methanothermus fervidus	81
Methanothermus sociabilis	88
Methanothrix soehngenii	35
Methanothrix thermoacetophila	58
Methanotorris formicicus	68
Methanotorris igneus	85
Methermicoccus shengliensis	65
Methylibium aquaticum	28
Methylibium fulvum	28
Methylibium petroleiphilum	26
Methylibium subsaxonicum	25
Methylobacillus arboreus	29
Methylobacillus flagellatus	32
Methylobacillus glycogenes	30
Methylobacillus gramineus	29
Methylobacillus pratensis	28
Methylobacillus sp.	29
Methylobacter tundripaludum	22
Methylobacterium adhaesivum	28
Methylobacterium aerolatum	30
Methylobacterium aminovorans	30
Methylobacterium aquaticum	27
Methylobacterium brachiatum	31
Methylobacterium brachythecii	28
Methylobacterium bullatum	28
Methylobacterium cerastii	27
Methylobacterium chloromethanicum	29
Methylobacterium dankookense	25
Methylobacterium dichloromethanicum	29
Methylobacterium extorquens	29
Methylobacterium fujisawaense	28
Methylobacterium gnaphalii	28
Methylobacterium goesingense	28
Methylobacterium gregans	28
Methylobacterium haplocladii	28
Methylobacterium hispanicum	27
Methylobacterium iners	30
Methylobacterium isbiliense	28
Methylobacterium komagatae	28
Methylobacterium longum	28
Methylobacterium lusitanum	29
Methylobacterium marchantiae	28
Methylobacterium mesophilicum	26
Methylobacterium organophilum	28
Methylobacterium oryzae	28
Methylobacterium oxalidis	28
Methylobacterium persicinum	28
Methylobacterium phyllosphaerae	28
Methylobacterium podarium	37
Methylobacterium radiotolerans	27
Methylobacterium rhodesianum	29
Methylobacterium rhodinum	28
Methylobacterium soli	28
Methylobacterium sp.	28
Methylobacterium suomiense	29
Methylobacterium tardum	28
Methylobacterium tarhaniae	28
Methylobacterium thiocyanatum	32
Methylobacterium thuringiense	27
Methylobacterium variabile	28
Methylobacterium zatmanii	31
Methylocapsa acidiphila	21
Methylocapsa aurea	28
Methyloceanibacter caenitepidi	35
Methylocella palustris	20
Methylocella silvestris	23
Methylocella tundrae	10
Methylococcus capsulatus	41
Methylocystis bryophila	22
Methylocystis heyeri	20
Methylocystis hirsuta	26
Methylocystis rosea	26
Methylocystis sp.	25
Methyloferula stellata	23
Methylogaea oryzae	30
Methylohalobius crimeensis	30
Methylohalomonas lacus	28
Methyloligella halotolerans	28
Methyloligella solikamskensis	28
Methylomagnum ishizawai	28
Methylomarinovum caldicuralii	45
Methylomarinum vadi	37
Methylomicrobium agile	30
Methylomicrobium album	30
Methylomicrobium alcaliphilum	28
Methylomicrobium kenyense	28
Methylomonas agile	30
Methylomonas albus	30
Methylomonas clara	37
Methylomonas methanica	28
Methylomonas paludis	25
Methylomonas sp.	30
Methylomonas thalassica	37
Methylonatrum kenyense	28
Methylophaga alcalica	30
Methylophaga frappieri	29
Methylophaga lonarensis	28
Methylophaga marina	30
Methylophaga nitratireducenticrescens	29
Methylophaga sulfidovorans	25
Methylophaga thalassica	30
Methylophaga thiooxidans	28
Methylophaga thiooxydans	28
Methylophilus flavus	28
Methylophilus glucoseoxidans	28
Methylophilus glucosoxydans	28
Methylophilus leisingeri	30
Methylophilus luteus	28
Methylophilus methylotrophus	33
Methylophilus sp.	29
Methylopila capsulata	29
Methylopila helvetica	29
Methylopila jiangsuensis	28
Methylopila musalis	28
Methylopila oligotropha	28
Methyloprofundus sedimenti	20
Methylorhabdus multivorans	30
Methylorosula polaris	20
Methylosarcina fibrata	30
Methylosarcina quisquiliarum	30
Methylosinus sp.	28
Methylosinus sporium	29
Methylosinus trichosporium	25
Methylosoma difficile	20
Methylotenera mobilis	30
Methylotenera versatilis	25
Methylothermus subterraneus	55
Methyloversatilis universalis	29
Methylovirgula ligni	25
Methylovorus glucosotrophus	32
Methylovorus mays	28
Methylovorus menthalis	28
Methylovulum miyakonense	27
Metschnikowia australis	10
Metschnikowia bicuspidata	22
Metschnikowia chrysoperlae	23
Metschnikowia corniflorae	23
Metschnikowia gruessii	24
Metschnikowia hawaiiensis	24
Metschnikowia krissii	24
Metschnikowia lunata	24
Metschnikowia noctiluminum	23
Metschnikowia pulcherrima	25
Metschnikowia reukaufii	25
Metschnikowia zobellii	25
Metulodontia nivea	26
Meyerozyma caribbica	24
Meyerozyma guilliermondii	25
Miamiensis avidus	25
Micractinium inermum	20
Micractinium pusillum	20
Micrasterias anomala	22
Micrasterias foliacea	21
Micrasterias mahabuleshwarensis	22
Micrasterias thomasiana	22
Micrasterias truncata	22
Microaerobacter geothermalis	50
Microascus caviariformis	22
Microascus cinereus	26
Microascus cirrosus	23
Microascus desmosporus	26
Microascus doguetii	24
Microascus exsertus	25
Microascus giganteus	18
Microascus griseus	24
Microascus pyramidus	25
Microascus senegalensis	24
Microascus singularis	24
Microascus trigonosporus	25
Microbacter margulisiae	30
Microbacterium aerolatum	27
Microbacterium agarici	29
Microbacterium ammoniaphilum	29
Microbacterium amylolyticum	29
Microbacterium aoyamense	28
Microbacterium aquimaris	29
Microbacterium arabinogalactanolyticum	30
Microbacterium arborescens	30
Microbacterium arthrosphaerae	28
Microbacterium assamensis	28
Microbacterium aurantiacum	32
Microbacterium aurum	29
Microbacterium awajiense	28
Microbacterium azadirachtae	28
Microbacterium barkeri	30
Microbacterium binotii	31
Microbacterium chocolatum	29
Microbacterium dextranolyticum	29
Microbacterium diaminobutyricum	28
Microbacterium enclense	30
Microbacterium endophyticum	28
Microbacterium esteraromaticum	30
Microbacterium faecale	28
Microbacterium flavescens	27
Microbacterium flavum	27
Microbacterium fluvii	28
Microbacterium foliorum	27
Microbacterium gilvum	28
Microbacterium ginsengisoli	28
Microbacterium ginsengiterrae	28
Microbacterium gubbeenense	29
Microbacterium halimionae	28
Microbacterium halophilum	30
Microbacterium halotolerans	29
Microbacterium hatanonis	28
Microbacterium hominis	30
Microbacterium humi	28
Microbacterium hydrocarbonoxydans	29
Microbacterium hydrothermale	28
Microbacterium immunditiarum	28
Microbacterium imperiale	30
Microbacterium indicum	27
Microbacterium insulae	28
Microbacterium invictum	29
Microbacterium keratanolyticum	30
Microbacterium ketosireducens	30
Microbacterium kitamiense	29
Microbacterium koreense	29
Microbacterium kribbense	28
Microbacterium lacticum	29
Microbacterium lacus	28
Microbacterium laevaniformans	33
Microbacterium lemovicicum	29
Microbacterium lindanitolerans	28
Microbacterium liquefaciens	29
Microbacterium luteolum	30
Microbacterium luticocti	28
Microbacterium mangrovi	28
Microbacterium marinilacus	25
Microbacterium marinum	28
Microbacterium maritypicum	26
Microbacterium mitrae	28
Microbacterium murale	28
Microbacterium natoriense	29
Microbacterium neimengense	28
Microbacterium oleivorans	28
Microbacterium oryzae	29
Microbacterium oxydans	30
Microbacterium paludicola	28
Microbacterium paraoxydans	33
Microbacterium phyllosphaerae	28
Microbacterium profundi	29
Microbacterium proteolyticum	28
Microbacterium pseudoresistens	28
Microbacterium pumilum	29
Microbacterium pygmaeum	28
Microbacterium radiodurans	28
Microbacterium resistens	30
Microbacterium rhizomatis	28
Microbacterium saccharophilum	28
Microbacterium saperdae	30
Microbacterium schleiferi	30
Microbacterium sediminicola	29
Microbacterium sediminis	28
Microbacterium shaanxiense	27
Microbacterium soli	28
Microbacterium sp.	28
Microbacterium suwonense	28
Microbacterium terrae	30
Microbacterium terregens	25
Microbacterium testaceum	30
Microbacterium thalassium	28
Microbacterium thermosphactum	28
Microbacterium trichothecenolyticum	30
Microbacterium ulmi	27
Microbacterium xylanilyticum	29
Microbacterium yannicii	28
Microbispora aerata	41
Microbispora amethystogenes	37
Microbispora bispora	53
Microbispora bryophytorum	28
Microbispora chromogenes	29
Microbispora corallina	28
Microbispora diastatica	29
Microbispora echinospora	37
Microbispora griseoalba	28
Microbispora hainanensis	28
Microbispora indica	29
Microbispora karnatakensis	29
Microbispora mesophila	38
Microbispora parva	29
Microbispora rosea	32
Microbispora siamensis	28
Microbispora sp.	28
Microbispora thermodiastatica	42
Microbispora thermorosea	45
Microbispora viridis	29
Microbotryozyma collariae	20
Microbotryum saponariae	22
Microbotryum scabiosae	24
Microbotryum scorzonerae	22
Microbotryum violaceum	23
Microbulbifer agarilyticus	30
Microbulbifer arenaceous	30
Microbulbifer degradans	26
Microbulbifer elongatus	23
Microbulbifer epialgicus	28
Microbulbifer hydrolyticus	28
Microbulbifer maritimus	37
Microbulbifer salipaludis	37
Microbulbifer taiwanensis	28
Microbulbifer thermotolerans	42
Microbulbifer variabilis	30
Microcella alkaliphila	36
Microcella putealis	36
Micrococcus agilis	25
Micrococcus aloeverae	28
Micrococcus calcoaceticus	30
Micrococcus caseolyticus	26
Micrococcus cohnii	28
Micrococcus conglomeratus	27
Micrococcus cryophilus	10
Micrococcus denitrificans	29
Micrococcus endophyticus	28
Micrococcus epidermidis	30
Micrococcus eucinetus	30
Micrococcus flavus	28
Micrococcus glutamicus	34
Micrococcus halobius	29
Micrococcus halodenitrificans	27
Micrococcus hyicus	37
Micrococcus kristinae	32
Micrococcus lactilyticus	37
Micrococcus luteus	29
Micrococcus lylae	32
Micrococcus lysodeikticus	28
Micrococcus maripuniceus	26
Micrococcus morrhuae	37
Micrococcus mucilaginosus	30
Micrococcus nishinomiyaensis	32
Micrococcus ovalis	37
Micrococcus prevotii	37
Micrococcus pyogenes	37
Micrococcus radiodurans	30
Micrococcus radiophilus	30
Micrococcus radioproteolyticus	30
Micrococcus roseus	31
Micrococcus rubens	32
Micrococcus sedentarius	30
Micrococcus sp.	28
Micrococcus terreus	28
Micrococcus varians	32
Micrococcus yunnanensis	29
Microcoleus chthonoplastes	22
Microcoleus sp.	22
Microcoleus vaginatus	22
Microcyclus aquaticus	27
Microcyclus major	28
Microcyclus marinus	24
Microcyclus ulei	26
Microcystis aeruginosa	19
Microcystis sp.	22
Microdochium bolleyi	24
Microdochium fusarioides	25
Microdochium nivale	21
Microdochium tabacinum	24
Microellobosporia cinerea	31
Microellobosporia flavea	35
Microellobosporia grisea	28
Microellobosporia violacea	28
Microhilum oncoperae	24
Microlunatus aurantiacus	28
Microlunatus cavernae	28
Microlunatus endophyticus	28
Microlunatus ginsengisoli	27
Microlunatus nigridraconis	28
Microlunatus panaciterrae	28
Microlunatus parietis	28
Microlunatus phosphovorus	31
Microlunatus soli	28
Microlunatus terrae	28
Micromonas pusilla	20
Micromonospora aurantiaca	34
Micromonospora aurantionigra	28
Micromonospora auratinigra	29
Micromonospora avicenniae	28
Micromonospora brunnea	27
Micromonospora brunnescens	26
Micromonospora carbonacea	27
Micromonospora chaiyaphumensis	28
Micromonospora chalcea	27
Micromonospora chersina	28
Micromonospora chokoriensis	28
Micromonospora citrea	27
Micromonospora coerulea	27
Micromonospora coriariae	28
Micromonospora coxensis	28
Micromonospora cremea	28
Micromonospora eburnea	27
Micromonospora echinaurantiaca	27
Micromonospora echinoaurantiaca	26
Micromonospora echinofusca	28
Micromonospora echinospora	27
Micromonospora endolithica	29
Micromonospora equina	28
Micromonospora fulviviridis	27
Micromonospora fulvoviolacea	26
Micromonospora fulvoviridis	26
Micromonospora fusca	26
Micromonospora globosa	26
Micromonospora haikouensis	28
Micromonospora halophytica	27
Micromonospora halotolerans	28
Micromonospora harpali	28
Micromonospora humi	28
Micromonospora inositola	27
Micromonospora inyoensis	26
Micromonospora inyonensis	27
Micromonospora jinlongensis	28
Micromonospora kangleipakensis	28
Micromonospora krabiensis	28
Micromonospora lacustris	26
Micromonospora lupini	28
Micromonospora mangrovi	28
Micromonospora marina	28
Micromonospora maritima	28
Micromonospora matsumotoense	28
Micromonospora megalomicea	26
Micromonospora mirobrigensis	29
Micromonospora narashino	26
Micromonospora narathiwatensis	28
Micromonospora nigra	27
Micromonospora noduli	28
Micromonospora olivasterospora	27
Micromonospora oryzae	28
Micromonospora ovatispora	28
Micromonospora pallida	27
Micromonospora palomenae	28
Micromonospora parva	26
Micromonospora pattaloongensis	28
Micromonospora peucetia	28
Micromonospora pisi	28
Micromonospora polyrhachis	28
Micromonospora profundi	28
Micromonospora purpurea	27
Micromonospora purpureochromogenes	27
Micromonospora rhizosphaerae	28
Micromonospora rhodorangea	28
Micromonospora rifamycinica	28
Micromonospora rosaria	28
Micromonospora rubra	37
Micromonospora ruminantium	37
Micromonospora saelicesensis	27
Micromonospora sagamiensis	27
Micromonospora schwarzwaldensis	29
Micromonospora sediminicola	28
Micromonospora siamensis	28
Micromonospora sonneratiae	28
Micromonospora sp.	28
Micromonospora taraxaci	28
Micromonospora tulbaghiae	28
Micromonospora ureilytica	28
Micromonospora vinacea	28
Micromonospora violae	28
Micromonospora viridifaciens	27
Micromonospora wenchangensis	28
Micromonospora yangpuensis	28
Micromonospora yulongensis	26
Micromonospora zamorensis	28
Micropolyspora angiospora	28
Micropolyspora brevicatena	36
Micropolyspora caesia	36
Micropolyspora faeni	53
Micropolyspora internatus	41
Micropolyspora rectivirgula	53
Microporus xanthopus	24
Micropruina glycogenica	30
Microscilla aggregans	30
Microscilla furvescens	28
Microscilla marina	25
Microscilla sericea	28
Microscilla tractuosa	30
