organism	temperature
Acrophialophora nainiana	24
Actibacterium mucosum	30
Actinastrum hantzschii	20
Actinaurispora siamensis	28
Actinoallomurus acaciae	28
Actinoallomurus acanthiterrae	28
Actinoallomurus amamiensis	28
Actinoallomurus bryophytorum	28
Actinoallomurus caesius	28
Actinoallomurus coprocola	28
Actinoallomurus fulvus	28
Actinoallomurus iriomotensis	28
Actinoallomurus liliacearum	28
Actinoallomurus luridus	28
Actinoallomurus oryzae	28
Actinoallomurus purpureus	28
Actinoallomurus radicium	28
Actinoallomurus spadix	33
Actinoallomurus vinaceus	28
Actinoallomurus yoronensis	28
Actinoalloteichus cyanogriseus	29
Actinoalloteichus hoggarensis	28
Actinoalloteichus hymeniacidonis	29
Actinoalloteichus nanshanensis	28
Actinoalloteichus spitiensis	30
Actinobacillus actinomycetemcomitans	36
Actinobacillus anseriformium	37
Actinobacillus arthritidis	37
Actinobacillus capsulatus	37
Actinobacillus delphinicola	37
Actinobacillus equuli	37
Actinobacillus hominis	37
Actinobacillus indolicus	37
Actinobacillus lignieresii	37
Actinobacillus minor	37
Actinobacillus muris	37
Actinobacillus pleuropneumoniae	37
Actinobacillus porcinus	37
Actinobacillus rossii	37
Actinobacillus salpingitidis	37
Actinobacillus scotiae	37
Actinobacillus seminis	37
Actinobacillus sp.	35
Actinobacillus succinogenes	34
Actinobacillus suis	37
Actinobacillus ureae	37
Actinobacterium israeli	37
Actinobaculum massiliense	37
Actinobaculum schaalii	37
Actinobaculum suis	37
Actinobaculum urinale	37
Actinobifida chromogena	50
Actinobispora alaniniphila	29
Actinobispora aurantiaca	28
Actinobispora xinjiangensis	29
Actinocatenispora rupis	28
Actinocatenispora sera	28
Actinocatenispora thailandica	29
Actinocorallia aurantiaca	30
Actinocorallia aurea	28
Actinocorallia cavernae	28
Actinocorallia glomerata	28
Actinocorallia herbida	28
Actinocorallia lasiicapitis	28
Actinocorallia libanotica	28
Actinocorallia longicatena	29
Actinocrinis puniceicyclus	22
Actinocrispum wychmicini	28
Actinokineospora auranticolor	29
Actinokineospora baliensis	28
Actinokineospora bangkokensis	28
Actinokineospora cibodasensis	28
Actinokineospora diospyrosa	28
Actinokineospora enzanensis	29
Actinokineospora fastidiosa	28
Actinokineospora globicatena	28
Actinokineospora guangxiensis	30
Actinokineospora inagensis	28
Actinokineospora mzabensis	28
Actinokineospora riparia	28
Actinokineospora soli	28
Actinokineospora spheciospongiae	28
Actinokineospora terrae	28
Actinomadura adrarensis	28
Actinomadura africana	29
Actinomadura alba	29
Actinomadura amylolytica	45
Actinomadura apis	28
Actinomadura atramentaria	29
Actinomadura aurantiaca	33
Actinomadura bangladeshensis	28
Actinomadura carminata	29
Actinomadura catellatispora	29
Actinomadura cellulosilytica	45
Actinomadura chibensis	37
Actinomadura chokoriensis	28
Actinomadura citrea	27
Actinomadura coerulea	28
Actinomadura coeruleofusca	28
Actinomadura coeruleoviolacea	37
Actinomadura cremea	27
Actinomadura darangshiensis	28
Actinomadura echinospora	37
Actinomadura fastidiosa	32
Actinomadura ferruginea	28
Actinomadura fibrosa	30
Actinomadura flava	37
Actinomadura flavalba	28
Actinomadura flexuosa	34
Actinomadura formosensis	31
Actinomadura fulva	26
Actinomadura fulvescens	37
Actinomadura gamaensis	28
Actinomadura geliboluensis	28
Actinomadura glauciflava	29
Actinomadura glomerata	28
Actinomadura hallensis	28
Actinomadura helvata	37
Actinomadura hibisca	27
Actinomadura jiaoheensis	28
Actinomadura keratinilytica	45
Actinomadura kijaniata	27
Actinomadura latina	31
Actinomadura libanotica	28
Actinomadura livida	28
